Name,Category,Description,Address,Phone,WhatsApp,BusinessHours,WeeklyOff,TopProducts,Facebook,Instagram,Website,Latitude,Longitude,ImageURL,Slug,OriginalURL,DateAdded,Status
Maa laxmi medical hall,Doctors,MAA LAXMI MEDICAL HALL,Station road near railway station,918797018474,918797018474,,,All types of medicine are here,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519143250-scaled.jpg,maa-laxmi-medical-hall,https://mymadhepura.com/listing/maa-laxmi-medical-hall/,2023-05-30,Published
AMBE CLINIC,Doctors,"All types of hidden treatment are here...

SAbhi gupt rog ka illaz yha hota h ...",Station road near railway station,919635472754,919635472754,,,MBBS DOCTOR DR.PE.BALA,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519142350-scaled.jpg,ambe-clinic,https://mymadhepura.com/listing/ambe-clinic/,2023-05-30,Published
New MASTER TAILORS,Tailors,Tailors shop,College Madhepura near gollambar,918235370914,918235370914,9am opening time and closing time 9pm,,Ladies and mens jacket specialist,,,,25.933218,86.795468,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517124842-scaled.jpg,new-master-tailors,https://mymadhepura.com/listing/new-master-tailors/,2023-05-30,Published
Sri Ram spyin and TRUMA centre,Doctors,"Dr Sunil kumar

Haddi,zor,gadiya specialist",Karpoori chowk near gollambar,919304700804,919304700804,9am opening time and closing time 9pm,,"Haddi ,jor,and gatiya specialist",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212246-scaled.jpg,sri-ram-spyin-and-truma-centre,https://mymadhepura.com/listing/sri-ram-spyin-and-truma-centre/,2023-05-30,Published
Jockey showroom,Showrooms,Jockey showrooms,Karpoori chowk near station road,91000000,9100000,,,"Jockey shirt,jeans, underwear,and many more items.",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530190536-scaled.jpg,jockey-showroom,https://mymadhepura.com/listing/jockey-showroom/,2023-05-30,Published
RASHI HEALTH CARE CENTRE,Doctors,Doctor,Bus stand Madhepura,917808043112,917808043112,,,"Pet,chatti,gathiya,heart,haddi,zor specialist",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523212314-scaled.jpg,rashi-health-care-centre,https://mymadhepura.com/listing/rashi-health-care-centre/,2023-05-30,Published
UNICORN 🦄 JUICE BAR,Cafe,Many more item you will check in photos,Main market near gollambar,918235357043,918235357043,,,"Banana shake, Chocolate shake,milk shake,French fries,etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530212849-scaled.jpg,unicorn-%f0%9f%a6%84-juice-bar,https://mymadhepura.com/listing/unicorn-%f0%9f%a6%84-juice-bar/,2023-05-31,Published
SANJEEV VESHNAV HOTEL,Restaurants,RESTURANT,State Bank road near patanjali shop Madhepura 852113,918051429988,918051429988,,,"Samosha , kachori, rasgulla, cold drink,water,etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530221221-scaled.jpg,sanjeev-veshnav-hotel,https://mymadhepura.com/listing/sanjeev-veshnav-hotel/,2023-05-31,Published
MONIKA MOCHING CENTRE AND LADIES TAILORS,Tailors,Ladies tailors,Main market near unicorn juice bar,917549534333,917549534333,,,Ladies tailors,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530230118-scaled.jpg,monika-moching-centre-and-ladies-tailors,https://mymadhepura.com/listing/monika-moching-centre-and-ladies-tailors/,2023-05-31,Published
SAMAJ SHOES CENTRE,Showrooms,Shoes and slippers shop,Main market near chanda mama dresses,919470293142,919470293142,,,Shoes and slippers shop,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530215637-scaled.jpg,samaj-shoes-centre,https://mymadhepura.com/listing/samaj-shoes-centre/,2023-05-31,Published
Photo state book and stationery,Printing Press,Books store and photo state,StAte bank road,919585802367,919585802367,,,Books and photo state shop,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530215621-scaled.jpg,photo-state-book-and-stationery,https://mymadhepura.com/listing/photo-state-book-and-stationery/,2023-05-31,Published
MAKHAN BHOG SWEETS CORNER,Restaurants,A complete family restaurant,Main market near gollambar,9100000,910000,,,"Chowmein,chaat, Pani puri,samosha,kachori,paneer chilli etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530215446-scaled.jpg,makhan-bhog-sweets-corner,https://mymadhepura.com/listing/makhan-bhog-sweets-corner/,2023-05-31,Published
Maa Ambey sajawat kedra,Grocery,Puja ka sAbhi sAmAn YHa MiLTA h,MAiN market near gollambar,917004357313,917004357313,9am opening time and closing time 9pm,,Puja path ka saman yha milta h,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530215321-scaled.jpg,maa-ambey-sajawat-kedra,https://mymadhepura.com/listing/maa-ambey-sajawat-kedra/,2023-05-31,Published
REPAIRING ZONE,Automobile,"All types of mobile phone are repairing here ..

Must visit once 

And phn skins are also available here",MAiN market near gollambar,916299142258,916299142258,,,Yha sAbhi parakar ke ...mobile phone repair hote h,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530215153-scaled.jpg,repairing-zone,https://mymadhepura.com/listing/repairing-zone/,2023-05-31,Published
HAVELLS GALAXY,Showrooms,Must visit oncw,KARPOORI CHOWK NEAR MAIN MARKET,9100000,910000,,,HAVELLS all types of products are available here,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230530190645-scaled.jpg,havells-galaxy,https://mymadhepura.com/listing/havells-galaxy/,2023-05-31,Published
GOKUL SWEETS,Restaurants,RESTURANT,College chowk near sadar aspataal,916202408538,916202408538,,,"Samosa, water, kachori, rasgulla cold drink",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230523211511-scaled.jpg,gokul-sweets,https://mymadhepura.com/listing/gokul-sweets/,2023-05-31,Published
Shekhar and company,Automobile,"All types of agriculture products are available here....like tractor,haLh,etc",Karpoori chowk near station road,917667354687,917667354687,,,Yaha sabhi prakar ke .... agriculture ke saman milta h,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230519142709-scaled.jpg,shekhar-and-company,https://mymadhepura.com/listing/shekhar-and-company/,2023-05-31,Published
Nishan radiologist Madhepura,CT Scan,"CT scanner,ultra sound, x-ray 🩻",College chowk near shiv mandir Madhepura,918294125885,918294125885,,No weekly off,"Ct-scan ,ulta sound , etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123606-scaled.jpg,nishan-radiologist-madhepura,https://mymadhepura.com/listing/nishan-radiologist-madhepura/,2023-05-31,Published
ANSHU KIRINA STORE,Grocery,"Oil,alluu,payaz, sugar,sattu,aata,chawal,daal,eyc",College chowk near shiv mandir Madhepura,917543973222,917543973222,,,Sabhi kirana saman yha milta h,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123344-scaled.jpg,anshu-kirina-store,https://mymadhepura.com/listing/anshu-kirina-store/,2023-05-31,Published
Digital printing pride,Printing Press,Printing press,College chowk near gollambar,917004394720,917004394720,,,"Sadi card, printing photos,mundan card,I'd card ,pvc card,flex print",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123238-scaled.jpg,digital-printing-pride,https://mymadhepura.com/listing/digital-printing-pride/,2023-05-31,Published
HOTEL KHUSHI,Restaurants,Restaurant,College chowk near shiv mandir Madhepura,919955373735,919955737375,,,"SAMOSHA, KACHORI, chowmein, chaat, COLD DRINKS eyc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123124-1-scaled.jpg,hotel-khushi-2,https://mymadhepura.com/listing/hotel-khushi-2/,2023-05-31,Published
S.K GARMENTS,Fashion,Fashion dresses for voys,College chowk near shiv mandir Madhepura,919931420309,919931420309,,,"Shirts, Jean's,looser,etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123054-scaled.jpg,s-k-garments,https://mymadhepura.com/listing/s-k-garments/,2023-05-31,Published
Om sweets CORNER,Restaurants,Restaurant,College chowk near shiv mandir Madhepura,918405550380,918405550380,,,"Samsosha ,kachori ,zalabii ,rasgulla",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517123029-scaled.jpg,om-sweets-corner,https://mymadhepura.com/listing/om-sweets-corner/,2023-05-31,Published
SONY WATCH CENTRE,Wrist Watch Repair &amp,Watch repair center,College chowk near shiv mandir Madhepura,917004394720,917004394720,,,"Watch repair,new watches etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517122729-1-scaled.jpg,sony-watch-centre,https://mymadhepura.com/listing/sony-watch-centre/,2023-05-31,Published
Abhishek telecom and banking sewa Kendra,Automobile,Banking services and telecom services are also available here must visit once,College chowk near shiv mandir Madhepura,917261878998,917261878998,,,Airtel telecom and banking services are also available here,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517122509-scaled.jpg,abhishek-telecom-and-banking-sewa-kendra,https://mymadhepura.com/listing/abhishek-telecom-and-banking-sewa-kendra/,2023-05-31,Published
SAHARA INDIA PRIVAR,Others,Sahara india pariwar,College chowk near petrol pump,910000,910000,,,Sahara india,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517122301-scaled.jpg,sahara-india-privar,https://mymadhepura.com/listing/sahara-india-privar/,2023-05-31,Published
KAMUR JAGMOHAN PRESS,Others,Printing press,COLLEGE chowk near petrol pump,918340133291,918340133291,,,"I'd card,Sadi card, tshirts Print,cup print, calendar print",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517121423-scaled.jpg,kamur-jagmohan-press,https://mymadhepura.com/listing/kamur-jagmohan-press/,2023-05-31,Published
SINGAR GENERAL STORE,Printing Press,Printing press,College chowk near shiv mandir Madhepura,918539911067,918539911067,,,Printing press,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517120951-scaled.jpg,singar-general-store,https://mymadhepura.com/listing/singar-general-store/,2023-05-31,Published
Maate Sudama mobile repairing centre,Printing Press,Preaa,College chowk near shiv mandir Madhepura,910000,910000,,,Printing press,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517120847-scaled.jpg,maate-sudama-mobile-repairing-centre,https://mymadhepura.com/listing/maate-sudama-mobile-repairing-centre/,2023-05-31,Published
M/S mithla interprizez,Automobile,"Cctv camera,solar Street light etc",College chowk near shiv mandir Madhepura,918405538251,918405538251,,,"Solar Street light,cycle,cybee cafe",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517120742-scaled.jpg,m-s-mithla-interprizez,https://mymadhepura.com/listing/m-s-mithla-interprizez/,2023-05-31,Published
Amit electronics shop,Automobile,"Fan ,light ,bulb ,wires,etc",College chowk near shiv mandir Madhepura,910000,91000,,,"Fan,light,bulb,etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230517120036-scaled.jpg,amit-electronics-shop,https://mymadhepura.com/listing/amit-electronics-shop/,2023-05-31,Published
New LiGht tailors,Tailors,Tailor shop,Main market,919304796470,919304796470,,,Tailor shop,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602202541-scaled.jpg,new-light-tailors,https://mymadhepura.com/listing/new-light-tailors/,2023-06-03,Published
Bank of india branch,Banquets,Bank,Main market near gollambar,9100000,910000,,,Bank of india branch,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602202437-scaled.jpg,bank-of-india-branch,https://mymadhepura.com/listing/bank-of-india-branch/,2023-06-03,Published
ASHIRWAD FASHION,Fashion,"A family fashion shop

Dresss",MAiN market,9162099099157,9162099099157,,,"Sari,kids wear,boys wears",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602202451-scaled.jpg,ashirwad-fashion,https://mymadhepura.com/listing/ashirwad-fashion/,2023-06-03,Published
Maa Sharda flowers decoration,Flowers,Docoretor,MAiN market,919155225777,919155225777,,,Flowers decoration,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602202426-scaled.jpg,maa-sharda-flowers-decoration,https://mymadhepura.com/listing/maa-sharda-flowers-decoration/,2023-06-03,Published
SBI CSP(CUSTOMER SERVICE POINT),Banquets,SBI customer service point,State Bank road near patanjali shop Madhepura 852113,910000,910000,9am opening time and closing time 7pm,Sunday close,CSP,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602182057-scaled.jpg,sbi-cspcustomer-service-point,https://mymadhepura.com/listing/sbi-cspcustomer-service-point/,2023-06-03,Published
DR.ANAND LAB,Doctors,MICROBIOLOGIST,Singeshwar road near Kiran public school,917485867275,917485867275,9am opening time and closing time 9pm,,"Blood test, urine test, microbiology",,,,25.933102,86.795499,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181813-scaled.jpg,dr-anand-lab-2,https://mymadhepura.com/listing/dr-anand-lab-2/,2023-06-03,Published
AQUA ZONE (AUTHORIZE SALE AND SERVICE),Grocery,Aqua zone sale and service,Singeshwar road near Kiran public school,919470836795,919470836795,,,Aqua guard service,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181746-scaled.jpg,aqua-zone-authorize-sale-and-service,https://mymadhepura.com/listing/aqua-zone-authorize-sale-and-service/,2023-06-03,Published
OXYGEN BIO STUDY CENTRE,Education,Coaching class,"Singeshwar road MaDhEpuRa,bihar",916201827722,916201827722,,,"For class 9th ,10,11,12th neet ,b.sc For preparation for b.sc nursing",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181607-scaled.jpg,oxygen-bio-study-centre,https://mymadhepura.com/listing/oxygen-bio-study-centre/,2023-06-03,Published
A TO Z COACHING MADHEPURA,Education,Coaching class,Singeshwar road near Kiran public school,919431893505,919431893505,,,"For CTET,BTET,STET,DAROGA ETC",,,,25.933103,86.795499,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181547-scaled.jpg,a-to-z-coaching-madhepura,https://mymadhepura.com/listing/a-to-z-coaching-madhepura/,2023-06-03,Published
UTSAV Infotech ( COMPUTER CLASS),Education,Computer class,"Singeshwar road MaDhEpuRa,bihar",917004533529,917004533529,9am opening time and closing time 9pm,,"COURSES :- ADCA,DCA,ADIT,DFA, MULTIMEDIA, HARDWARE ETC",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181516-scaled.jpg,utsav-infotech-computer-class,https://mymadhepura.com/listing/utsav-infotech-computer-class/,2023-06-03,Published
NANDAN CTET-CENTER,Education,CTET TIME (07 TO 09AM) MORNING,"Singeshwar road MaDhEpuRa,bihar",919006791559,919006791559,CTET BATCH ( 07 to 09 am) and ( 02 to 04 pm),,CTET AND BPSC COACHING,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181506-scaled.jpg,nandan-ctet-center,https://mymadhepura.com/listing/nandan-ctet-center/,2023-06-03,Published
BIOLOGY STUDY POINT,Education,A PERFECT INSTITUTE OF BIOLOGY,"Bijli board ,near shiv mandir Madhepura",919709897480,919709897480,,,For class 11th and 12th Hindi and English medium,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181350-scaled.jpg,biology-study-point,https://mymadhepura.com/listing/biology-study-point/,2023-06-03,Published
NAND BOOK STORE AND STATIONARY,Education,"Book store , photo prints,","Singeshwar road MaDhEpuRa,bihar",919973590172,919973590172,,,"Book store , and photo print shop, lamination",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181334-scaled.jpg,nand-book-store-and-stationary,https://mymadhepura.com/listing/nand-book-store-and-stationary/,2023-06-03,Published
SALEN MOTOR GARAGE,Cabs &amp,Cars and motorcycles GARAGE,"Singeshwar road MaDhEpuRa,bihar",919905655616,919905655616,,,"Cars ,and bike garage",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181259-scaled.jpg,salen-motor-garage,https://mymadhepura.com/listing/salen-motor-garage/,2023-06-04,Published
A BASIC CONCEPT OF PHYSICS,Education,Physics class,Singeshwar road near Kiran public school,917870385878,917870385878,,,"For class :-11th,12th IIT-Jee,neet ,advance,CBSE AND BSEB",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181226-scaled.jpg,a-basic-concept-of-physics,https://mymadhepura.com/listing/a-basic-concept-of-physics/,2023-06-04,Published
Maa Nursing home,Doctors,"All emergency facilities are here 

24x7","Near bijli board , singeshwar road MaDhEpuRa",919534788308,919534788308,24 hours open,,"ICU,NICU, PICU ,OT,",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181146-scaled.jpg,maa-nursing-home,https://mymadhepura.com/listing/maa-nursing-home/,2023-06-04,Published
LALU TANK SAFAIII,Others,"Contract us.

Lalu tank safai",Sab jagah,918084236262,918709505643,24hours available,,"Tank safai ,train,gatar,Nala,sokhta ,etc",,,,25.933169,86.795481,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230604172015-scaled.jpg,lalu-tank-safaiii,https://mymadhepura.com/listing/lalu-tank-safaiii/,2023-06-04,Published
JEE. MATHEMATICS CLASSES,Education,Sushil suman sir contact us,Singeshwar road near Kiran public school,917261878425,917261878425,,,"Class 10th,11th,12th, NCERT BASED (SPECial BATCH FOR JEE (MAIN+ADV) NEET ETC",,,,25.933607,86.795362,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181120-scaled.jpg,jee-mathematics-classes,https://mymadhepura.com/listing/jee-mathematics-classes/,2023-06-04,Published
SARJUN. SIR CLASSES,Education,SARJUN sir,Singeshwar road near Kiran public school,91000,910000,,,"CTET,STET,ALL CLASSES ARE AVAILABLE HERE (SPECIAL CLASS) BIOLOGY",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603181033-scaled.jpg,sarjun-sir-classes,https://mymadhepura.com/listing/sarjun-sir-classes/,2023-06-04,Published
PASU AAHAR KENDRA (PET HEALTH CARE),Grocery,"All types मसाला ,sattu ,sarso tel hand made available here",Goowsala near Hanuman mandir Madhepura,919431888811,919431888811,,,"Sarso tel hand made ,sattu,masale etc",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603180902-scaled.jpg,pasu-aahar-kendra-pet-health-care,https://mymadhepura.com/listing/pasu-aahar-kendra-pet-health-care/,2023-06-04,Published
Maa online solution grahak sewa Kendra,Automobile,Maa online solution ghahak sewa Kendra and online centre,COLLEGE chowk near baba ji hotel,919155668833,919155668833,,,"Railway ticket,dhakhil kharij,Jamin ka rasid,kishan panjikaran,mobile recharge,t.v recharge,bill bhuktan,jati aaye, licence,wridha pension",,,,25.929367,86.79543,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230605111703-scaled.jpg,maa-online-solution-grahak-sewa-kendra,https://mymadhepura.com/listing/maa-online-solution-grahak-sewa-kendra/,2023-06-05,Published
Jyoti book store,Education,Books and copy store,College chowk near shiv mandir Madhepura,918406949758,918406949758,,,"Books , and copy store",,,,25.929369,86.79543,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230605113421-scaled.jpg,jyoti-book-store,https://mymadhepura.com/listing/jyoti-book-store/,2023-06-05,Published
Sudha DAHI CENTRE,Grocery,Sudha daHiii only available here in low price,Japalpati chowk Madhepura,919521183365,919521183365,,,Sudha dahii only available here,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230605190247-scaled.jpg,sudha-dahi-centre,https://mymadhepura.com/listing/sudha-dahi-centre/,2023-06-05,Published
Kiran Pharma,Chemist,Surgical and hospital things are available here.,Japalpati chowk Madhepura ward no 19,9100000,910000,,,Dog feed and accessories also available here,,,,25.933108,86.795498,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230605182338-scaled.jpg,kiran-pharma,https://mymadhepura.com/listing/kiran-pharma/,2023-06-05,Published
Physics by j.p sir,Education,"Physics class for class 10th,11th,12th",College chowk near shiv mandir Madhepura,917002730040,917002730040,,,Physics classes,,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230605113331-scaled.jpg,physics-by-j-p-sir,https://mymadhepura.com/listing/physics-by-j-p-sir/,2023-06-05,Published
Maa Sharda bag house,Banquets,Bags shop,Thana chowk near police station,918534805430,918534805430,,,"School bags , trolley,hand bag and many more bags are here",,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602202328-scaled.jpg,maa-sharda-bag-house,https://mymadhepura.com/listing/maa-sharda-bag-house/,2023-06-05,Published
Arya bhatt math classes,Education,Math,Bobby nursery singeshwar road MaDhEpuRa,919470896069,919470896069,,,Math + reasoning,,,,25.933426,86.795412,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230603175909-scaled.jpg,arya-bhatt-math-classes,https://mymadhepura.com/listing/arya-bhatt-math-classes/,2023-06-05,Published
Bengali Bartan dukan,Grocery,Bartan dukan,Thana chowk near police station,91000000,910000,,,Bartan shop,,,,25.933601,86.795364,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602202135-scaled.jpg,bengali-bartan-dukan,https://mymadhepura.com/listing/bengali-bartan-dukan/,2023-06-05,Published
Sawariya sweets snex,Restaurants,"RESTURANT

Must visit once",Main market near chanda mama dresses,9100000,910000,,,"SAMOSHA , KACHORI , COLD DRINKS ,chatt, chowmein,",,,,25.932916,86.795526,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602202045-scaled.jpg,sawariya-sweets-snex,https://mymadhepura.com/listing/sawariya-sweets-snex/,2023-06-05,Published
AGARWAL IRON STORE,Others,Hardware shop,Main market near gollambar,910000,910000,,,"Hardware shop,",,,,25.933122,86.795494,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230602202022-scaled.jpg,agarwal-iron-store,https://mymadhepura.com/listing/agarwal-iron-store/,2023-06-05,Published
NEW ERA SMART SCHOOL,Schools,School,PhD field near college chowk,919470337138,919470337138,,,Nursery to 8th classes here CBSE SCHOOL,,,,25.933163,86.795483,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607191425-scaled.jpg,new-era-smart-school,https://mymadhepura.com/listing/new-era-smart-school/,2023-06-07,Published
Anand competition classes,Education,Compitition classes,PhD field kk darbar se 100 kadam aage,918709781379,918709781379,,,"For ssc,RLY,BANK ,UPSC,BPSC,CRPF,DAROGA,ARMY,NAVY,AIRFORCE",,,,25.93315,86.795486,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607191309-scaled.jpg,anand-competition-classes,https://mymadhepura.com/listing/anand-competition-classes/,2023-06-07,Published
The result factory,Education,Good,College chowk near PhD field,918709781379,918709781379,,,"Math, reasoning, GK,GS,CA ETC",,,,25.933156,86.795485,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607191257-scaled.jpg,the-result-factory,https://mymadhepura.com/listing/the-result-factory/,2023-06-07,Published
GLOBAL EDUCATION CENTRE,Automobile,Education,College chowk near muskan cake palace,919999159544,919999159544,,,"For CTET,KVS,NVS,STET,BTET...,",,,,25.933126,86.795493,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607191127-scaled.jpg,global-education-centre,https://mymadhepura.com/listing/global-education-centre/,2023-06-07,Published
Balaji sweets corner and bhojnalaye,Restaurants,Must visit once,COLLEGE chowk near petrol pump,917808918624,917808918624,,,"Sada bhojan,chola bhutra,litti,samosha,chatt, chowmin--,burger,mithai,sudha milk,dahi,paneer, icecreams, cold drink etc",,,,25.933126,86.795493,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607191006-scaled.jpg,balaji-sweets-corner-and-bhojnalaye,https://mymadhepura.com/listing/balaji-sweets-corner-and-bhojnalaye/,2023-06-07,Published
Narayan vatika Vastra dukan,Fashion,Dress shop,College chowk near gollambar,918543019945,918543019945,,,"Ladies,men's,kids wears,🥰",,,,25.933152,86.795486,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607184840-scaled.jpg,narayan-vatika-vastra-dukan,https://mymadhepura.com/listing/narayan-vatika-vastra-dukan/,2023-06-07,Published
Kumar Gaurav Enterprises,Automobile,"Hamare yha sabhi prakar ke....spare parts 
Thokk aur khudra me milte h❤️

(Ek baar jarur aaye🙏)
DhAnyEwaad",COLLEGE chowk near gollambar,919534894335,919534894335,,,"Mobile software and hardware touch glass,folder, battery etc battery 🔋",,,,25.933165,86.795482,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607184824-scaled.jpg,kumar-gaurav-enterprises,https://mymadhepura.com/listing/kumar-gaurav-enterprises/,2023-06-07,Published
Suhani roop pariwartan saloon,Salons,Best saloon,College chowk near shiv mandir Madhepura,910000,910000,,,"Masaj,scrub,blich , wedding dulha makeup ke liye sampark kre",,,,25.933129,86.795492,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607184725-scaled.jpg,suhani-roop-pariwartan-saloon,https://mymadhepura.com/listing/suhani-roop-pariwartan-saloon/,2023-06-07,Published
BMS PHARMA MEDICINE,Chemist,Medicine shop,College chowk near shiv mandir Madhepura,910000,910000,,,"Angreji,unani ,and ayurvedic dawaiya yaha milti h.",,,,25.933166,86.795482,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607184718-scaled.jpg,bms-pharma-medicine,https://mymadhepura.com/listing/bms-pharma-medicine/,2023-06-07,Published
AMAN MEDICAL AGENCY,Chemist,Medicine shop,COLLEGE chowk near purani Market,918409594166,918409594166,,,"Medicines like , dolo,parasitamol, Benadryl,etc",,,,25.933121,86.795494,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607184711-scaled.jpg,aman-medical-agency,https://mymadhepura.com/listing/aman-medical-agency/,2023-06-08,Published
KAJAL DIGITAL STUDIO,Printing Press,Digital studio,Purani bahar near college chowk Madhepura,918797326941,918797326941,,,"Photo studio , printing press, lamination etc",,,,25.93315,86.795486,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/06/IMG20230607184644-scaled.jpg,kajal-digital-studio,https://mymadhepura.com/listing/kajal-digital-studio/,2023-06-08,Published
